parameter,value,se_sa,rse_sa
r_pop,6.06463807815403,0.212308416990996,3.5007598846792
delta_pop,0.830529720253452,0.0495973824025568,5.97177695066966
beta_pop,4.14570763231187e-6,1.52670407470361e-6,36.8261394702413
tau_pop,2.61903279664719,0.0793465670830016,3.02961334369614
omega_r,0.167313048796251,0.0263214347419308,15.7318481321707
omega_delta,0.432912704991836,0.0503292213286881,11.6257205548258
omega_beta,2.81999948622332,0.27186917645839,9.64075269469253
omega_tau,0.104784952758408,0.0321586668352274,30.6901573066244
a1,1.34817761537482,0.0409276397678241,3.03577505671947
