parameter,value,se_sa,rse_sa
r_pop,6.80920718716779,0.790426231423239,11.608197690222
delta_pop,0.74365877284579,0.0436509170704822,5.86975084062297
beta_pop,9.41163246352395e-7,3.41126904892958e-7,36.2452429177448
tau_pop,2.75480935459897,0.36909536516677,13.3982180854218
omega_r,0.169504120310183,0.11186978447449,65.9982685198299
omega_delta,0.449063100599175,0.0437320516252729,9.73850925781304
omega_beta,2.20942713372757,0.236633253610933,10.7101632816333
omega_tau,0.426180494097286,0.0552380107583348,12.9611776051218
a1,1.27990411889726,0.0359252586971481,2.80687109032046
